Username,Comment
@programmingwithmosh,"- Want to learn more? Get my complete React mastery course: http://bit.ly/3l0vWYR
- Subscribe for more videos like this: https://goo.gl/6PYaGF"
@pycodedigi,This is amazing
@brendanpeterson5411,My genuine thanks. You have a great teaching style.
@Juan-jc6oc,Excellent tutorial.
@tskhomelidze,how do we make our terminal similar to yours ?
@MindCode86,"Good tutorial, fast, precise and good information density."
@el-3omda476,is this outdated or something cause i dont have tsx extension on my files it's js and the folder structure is different ??
@rafalp6584,Do someone know what vsc theme Josh uses?
@agony4181,"Im used Enum for state...

export enum ButtonState {
  primary = 'btn-primary',
  secondary = 'btn-secondary',
  success = 'btn-success',
  danger = 'btn-danger',
  warning = 'btn-warning',
  info = 'btn-info',
  light = 'btn-light',
  dark = 'btn-dark',
  link = 'btn-link',
}

export const MyButton = ({
  children,
  state = ButtonState.primary,
  onClick,
}: Prop) => {
  return (
    <button type=""button"" className={`btn ${state}`} onClick={onClick}>
      {children}
    </button>
  )
}"
@brandongaynier6818,Went to the website and purchased the course... hands down the best money I've ever spent.
@user-pz1ys8jj4m,"Why do you zoom in to the code so much? I want to be able to see more code than a few truncated lines. 

Also seeing a warning on ""onClick={handleClick}"":


Type '(event: MouseEvent) => void' is not assignable to type 'MouseEventHandler<HTMLLIElement>'.
  Types of parameters 'event' and 'event' are incompatible.

Solution: ""onClick={() => handleClick}"""
@Kariim_Atef,good luck
@Kariim_Atef,you're the best
@Kariim_Atef,thanks so much
@vipulsahu3992,🖤
@ilwozzone,"31:55 

The fix is to specify ""className""

<li className=""list-group-item"">{item}</li>"
@MehrabEvanC94,The best thing I like from his contents that he provides a great overview review with the simplest explanation in 1-2 hours duration which is very easy to grab the basics which is the most required objectives for a software engineer to go for agile approach.
@user-xy8su2iw5y,Short-time video uploaded then please
@rydinorwin,"Not great with terminal, I got to 8:26, code . did not work, Mosh says if that does not work simply drag and drop that folder into VS Code,, helps to do this would be appreciated! Many thanks! Yeah, so far I can't get the server in Vite going!?"
@user-yi6cf9qt6z,The video is great but there's like sooo many ads!!!!
@TKollaKid,"This course was incomplete. I purchased the React course bundle a few months ago and went through both courses. Doesn't provide enough depth and breadth. Missed a lot of important concepts. What I particularly found disappointing was that authentication was not covered. Instead, at the end of the last course, he says buy my Next course to learn authentication. I don't want to buy and take another course to learn Next. I want to learn React. I found that dishonest. I also don''t like how much refactoring he does. It makes for messy notes and difficult to follow. Do it correctly in the first place. I've literally purchased over 10 courses from Mosh over the past couple of years and most are great. But this one fell short. It felt rushed. I ended up taking the React course by Maximilian Schwarzmüller on Udemy. It is significantly better. I have a university degree in computer science with 7 years of experience."
@vinaysharma5008,🔥
@GOODBOY-vt1cf,50:21
@nacholiron,"The ""passing children"" section didn't work at all. The Alert worked while passing the literal, but the changes to pass it as Props, didn't work. I tripled checked, and my alert gets the blue component but the text remains undefined when consoled. From that point on, nothing else worked as expected despite having the exact same code."
@steveelliott8852,Hi Guys is this course good for a beginner I'm good at html & css I'm OK at javascript still learning people keep on telling me to learn react thanks Steve
@meditationmusic9488,This course is a game like for me. Enjoyed 1000%
@kingshanaman,"How did you get your terminal looking like that, with colours and git branch names?"
@nacholiron,what icon set you use in vs code?
@budsodalsky,"""beautiful"""
@trackstar127,"At the 1:00:38 mark the shortcut you have for Alerts is not working for me. I followed your steps at least 10 times now and keep running into the same issues. The rafce is working to generate the code but when I go back to App.tsx, the syntax involving <Alert /> isn't being recognzed. 

Alert.tsx is also automatically removing the () that should come after return statement."
